x,y,token
52.154015,-0.8099966,niewielki
18.605383,55.468517,małe
34.086014,-76.78636,c
-21.427471,48.371628,obóz
35.29157,44.907417,nosić
-16.200546,35.9285,przedmiot
60.762375,18.856113,kierować
37.073837,1.3839449,znacznie
14.497841,-38.15161,dobra
54.426792,-29.995398,pamięć
-14.573698,37.337666,wschód
8.592661,-20.428776,stare
33.009556,-59.680153,przeciwko
-33.128048,-36.434315,brytyjski
15.048681,20.284353,poziom
45.391087,-35.23225,porządek
92.29317,10.883481,wyjaśnić
48.17384,-60.333275,bitwa
82.62337,47.813065,zostawić
21.053333,0.85391587,trudno
93.63663,1.4277958,służyć
47.8614,-42.179604,racja
55.43436,39.163044,pozostawać
46.360676,-70.346085,pół
36.071377,25.073133,widać
-25.683193,6.1793904,reszta
-38.454025,38.111717,łódź
-59.358135,-33.791023,puchar
46.252476,-71.249214,dwadzieścia
-19.575048,44.695488,plac
1.5909766,-19.539665,ofiara
44.69492,-0.43629327,zwać
-35.937263,61.770706,tył
62.717636,75.8653,zamknąć
72.98287,14.269164,pokazać
96.37517,14.611904,zapomnieć
55.48635,22.247034,powstały
66.13205,-36.883247,spokój
-57.414024,5.561272,zawodnik
19.33925,2.7366266,najpierw
21.718508,-0.2887118,dawno
-41.330734,34.762188,samolot
21.97677,-40.80503,tekst
72.015015,2.8773966,podjąć
88.725975,1.9660823,przynieść
55.821754,0.6616063,głęboki
73.29601,33.922634,obserwować
83.85308,8.629249,uznać
5.652894,-29.114597,lekarz
96.10597,39.28259,odbyć
1.5577276,-46.272133,naród
31.939688,-33.20171,naukowy
22.242697,-1.1443119,prawdopodobnie
-54.405163,8.46745,igrzyska
23.4302,-2.5360472,właściwie
14.396068,-8.778004,skoro
88.23252,32.110905,przerwać
15.300609,-29.569075,order
-14.58495,37.31889,południe
39.66707,-1.3093866,wolny
72.48957,13.928858,wskazywać
-46.212524,-36.56291,zjednoczyć
-1.4997444,-39.5112,minister
63.28679,5.7203593,czytać
55.572502,18.724575,łączyć
68.80897,61.39105,ciągnąć
51.534508,-59.997063,powstanie
21.514317,-7.4266434,zamierzać
7.3975077,-37.022247,sąd
66.25154,16.821661,ukryć
55.234447,-31.571247,umysł
64.96175,-64.355446,ostatnie
-35.502632,-5.8013086,kolej
23.443058,-2.852375,zatem
-29.1594,74.694855,stół
10.171081,17.39056,metoda
-20.43479,-62.028503,województwo
12.84574,18.714754,wersja
11.770224,-23.09061,kariera
